title,author,description,isbn,image,available
AI For Teachers Book 8: University Teaching with AI: Advanced Techniques and Tools,DIZZY DAVIDSON,"""AI For Teachers Book 8: University Teaching with AI: Advanced Techniques and Tools"" that will make it stand out on Amazon.com: AI For Teachers Book 8: University Teaching with AI: Advanced Techniques and Tools Unlock the future of higher education with ""University Teaching with AI: Advanced Techniq.",ISBN-7294347738,http://books.google.com/books/content?id=u_JJEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Blue Book on AI and Rule of Law in the World (2020),Yadong Cui,"This book focuses on the development of artificial intelligence and rule of law in the current world. It covers topics such as AI strategy, policy, law, theoretical research, and practical application. Through an in-depth analysis and thorough evaluation, this book provides a more objective, fair, a.",9789811935862,http://books.google.com/books/content?id=8DahEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
AI and Society,"Sheena Lovia Boateng, Richard Boateng","In recent years, the profound impact of artificial intelligence (AI) on fostering new forms of entrepreneurship has become increasingly evident. Entrepreneurs worldwide are harnessing the capabilities of AI to develop innovative solutions and create businesses that address pressing challenges. Despi.",9781040332610,http://books.google.com/books/content?id=PN9PEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Intelligent Systems Using Semiconductors for Robotics and IoT,"Dinesh Goyal, Payal Bansal, Ritam Dutta, Madhav Sharma","The First International Conference on Intelligent Systems Using Semiconductors for Robotics and IoT (ICISRI-2024) brings together leading researchers, academicians, industry professionals, and innovators from around the world to explore the convergence of semiconductor technologies with intelligent .",9781040820513,http://books.google.com/books/content?id=zG2QEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Novel AI Applications for Advancing Earth Sciences,"Yadav, Sudesh, Yadav, Satya Prakash, Raj, Pethuru, Tiwari, Prabhakar, Albuquerque, Victor Hugo C. de","The Earth Sciences industry faces a new challenge - the need for accurate, efficient, and reliable methods to monitor and predict geological phenomena and environmental changes. As climate change, earthquakes, and other natural disasters become more frequent and severe, the necessity for advanced to.",9798369318515,http://books.google.com/books/content?id=99LrEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Artificial Intelligence and the New World Order,Fatima Roumate,"This book discusses the implications of artificial intelligence (AI) on post-COVID-19 international relations. With the decline and fall of U.S. global leadership and the emergence of new powerful actors, as hastened by the global pandemic, new arms are now used in new forms of wars with new players.",9783031503122,http://books.google.com/books/content?id=gvEGEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Directory of Rare Book and Special Collections in the UK and Republic of Ireland,Karen Attar,"This directory is a handy on-volume discovery tool that will allow readers to locate rare book and special collections in the British Isles. Fully updated since the second edition was published in 1997. this comprehensive and up-to-date guide encompasses collections held in libraries, archives, muse.",9781783300167,http://books.google.com/books/content?id=sQUUDgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
"AI BOOK: THE ARTIFICIAL INTELLIGENCE HANDBOOK FOR INVESTORS, ENTREPRENEURS AND FINTECH VISIONARIES.",SUSANNE CHISHTI.,No description available.,111955196X,http://books.google.com/books/content?id=N9cRzgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Utilizing AI and Smart Technology to Improve Sustainability in Entrepreneurship,"Hossain, Syed Far Abid","Businesses must confront a pressing challenge—how to navigate the turbulent seas of market dynamics and technological advancements. As traditional business models face obsolescence in the wake of relentless innovation, enterprises failing to quickly to harness the power of advanced technologies risk.",9798369318430,http://books.google.com/books/content?id=l8j8EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Computed Tomography - E-Book,Euclid Seeram,"Build the foundation necessary for the practice of CT scanning with Computed Tomography: Physical Principles, Patient Care, Clinical Applications, and Quality Control, 5th Edition. Written to meet the varied requirements of radiography students and practitioners, this two-color text provides compreh.",9780443107009,http://books.google.com/books/content?id=faZ1EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Artificial Intelligence-Enabled Digital Twin for Smart Manufacturing,"Amit Kumar Tyagi, Shrikant Tiwari, Senthil Kumar Arumugam, Avinash Kumar Sharma","An essential book on the applications of AI and digital twin technology in the smart manufacturing sector. In the rapidly evolving landscape of modern manufacturing, the integration of cutting-edge technologies has become imperative for businesses to remain competitive and adaptive. Among these tech.",9781394303588,http://books.google.com/books/content?id=VBIhEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Artificial Intelligence for Big Data,"Anand Deshpande, Manish Kumar","Build next-generation Artificial Intelligence systems with Java Key Features Implement AI techniques to build smart applications using Deeplearning4j Perform big data analytics to derive quality insights using Spark MLlib Create self-learning systems using neural networks, NLP, and reinforcement lea.",9781788476010,http://books.google.com/books/content?id=pF9dDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Verb Movement and Clause Structure in Old Romanian,"Virginia Hill, Gabriela Alboiu","The book provides a formal analysis of root and complement clauses in Old Romanian, focussing on the combination of Balkan syntactic patterns and Romance morphology. It presents a new perspective on the manifestation of Balkan Sprachbund properties in the language, and on the nature of parametric di.",9780198736509,http://books.google.com/books/content?id=6VU0CwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Writers' & Artists' Yearbook 2026,Bloomsbury Publishing,"'This book is an excellent place to start. I love it and hope your copy becomes as dog-eared with overuse as many of my old ones did.' David Cohen This bestselling Writers' & Artists' Yearbook contains a wealth of information on all aspects of writing and becoming a published author, plus a comprehe.",9781399421225,http://books.google.com/books/content?id=_T6HEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Blue Book on AI and Rule of Law in the World (2022),Cui Yadong,"This book focuses on the development of artificial intelligence and rule of law in the world, by collecting and summarizing the information about the development of artificial intelligence and rule of law in China and the world, covering topics like AI strategy, policy, law, theoretical research, pr.",9789819710607,http://books.google.com/books/content?id=BMYLEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Artificial Intelligence,Michael Wooldridge,"'I propose to consider the question, 'Can machines think?' Alan Turing (1950) Part of the ALL-NEW Ladybird Expert series. This book is for everyone living in the age of Artificial Intelligence. And this is an accessible and authoritative introduction to one of the most important conversations of our.",9781405934183,http://books.google.com/books/content?id=m407DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Artificial Intelligence for Autonomous Vehicles,"Sathiyaraj Rajendran, Munish Sabharwal, Yu-Chen Hu, Rajesh Kumar Dhanaraj, Balamurugan Balusamy","With the advent of advanced technologies in AI, driverless vehicles have elevated curiosity among various sectors of society. The automotive industry is in a technological boom with autonomous vehicle concepts. Autonomous driving is one of the crucial application areas of Artificial Intelligence (AI.",9781119847632,http://books.google.com/books/content?id=h-73EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Ethico-Legal Aspect of AI-driven Driverless Cars,Sadaf Fahim,"This book is a comparative study of the laws and regulations involving legal and ethical issues related to Artificial Intelligence (AI), in particular for self-driving cars or autonomous vehicles (AVs). It identifies, analyzes, and points out such issues via a study of laws and regulations in India,.",9789819768837,http://books.google.com/books/content?id=7wocEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Artificial Intelligence All-in-One For Dummies,"Chris Minnick, John Paul Mueller, Luca Massaron, Stephanie Diamond, Pam Baker, Daniel Stanton, Shiv ","A comprehensive roadmap to using AI in your career and in your life Artificial intelligence is everywhere. Major software organizations like Microsoft, Google, and Apple have built AI directly into products and invited the world to become part of the AI revolution. And it's impossible to use these t.",9781394341733,http://books.google.com/books/content?id=-T9eEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Web Information Systems and Mining,"Liu Wenyin, Xiangfeng Luo, Fu Lee Wang, Jingsheng Lei",Researchers and professionals.,9783642052491,http://books.google.com/books/content?id=9CHsRhx9vLwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Artificial Intelligence Class 7,Manish Soni,"As we move deeper into the 21st century, the role of technology in our lives continues to expand at an unprecedented pace. Among the most transformative technologies of our time is Artificial Intelligence (AI), which is increasingly becoming a cornerstone of innovation in virtually every field. From.",9788198244598,http://books.google.com/books/content?id=9xswEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Artificial Intelligence By Example - Second Edition,Denis Rothman,No description available.,1839211539,http://books.google.com/books/content?id=BVRpzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Rebooting AI,"Gary Marcus, Ernest Davis","Two leaders in the field offer a compelling analysis of the current state of the art and reveal the steps we must take to achieve a robust artificial intelligence that can make our lives better. “Finally, a book that tells us what AI is, what AI is not, and what AI could become if only we are ambiti.",9781524748265,http://books.google.com/books/content?id=OmeEDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Innovative and Intelligent Digital Technologies; Towards an Increased Efficiency,"Muneer Al Mubarak, Allam Hamdan","""Innovative and Intelligent Digital Technologies: Towards Increased Efficiency"" is a groundbreaking book that explores the transformative power of cutting-edge digital solutions. From artificial intelligence to blockchain, this comprehensive guide reveals how these technologies can reshape businesse.",9783031703997,http://books.google.com/books/content?id=BiM7EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Artificial Intelligence-based Internet of Things Systems,"Souvik Pal, Debashis De, Rajkumar Buyya","The book discusses the evolution of future generation technologies through Internet of Things (IoT) in the scope of Artificial Intelligence (AI). The main focus of this volume is to bring all the related technologies in a single platform, so that undergraduate and postgraduate students, researchers,.",9783030870591,http://books.google.com/books/content?id=r9FYEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
The Book of Joshua,"F. R. Fay, George Ripley Bliss","Reprint of the original, first published in 1875.",9783385386341,http://books.google.com/books/content?id=jBH8EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
The Four Masterworks of the Ming Novel,Andrew H. Plaks,"A reinterpretation of some of the great works of Chinese fiction of the late Ming dynasty In this book, Andrew Plaks reinterprets the great texts of Chinese fiction known as the “Four Masterworks of the Ming Novel” (ssu ta ch'i-shu). Arguing that these are far more than collections of popular narrat.",9780691273501,http://books.google.com/books/content?id=mTgmEQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Electrical Supply Year Book,Unknown Author,No description available.,ISBN-7185463835,http://books.google.com/books/content?id=AvpYAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
The First French Book,Henri Bue,No description available.,ISBN-1338150105,http://books.google.com/books/content?id=y6gBAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The Triumph of Artificial Intelligence,Günter Cisek,"The book demonstrates to readers interested in social life in an understandable way how AI works and how it will dramatically change all areas of life. From the history of AI to its techniques and its diverse fields of application to its ethical-philosophical implications, all relevant aspects are p.",3658348984,http://books.google.com/books/content?id=FzFizwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Who's Afraid of AI?,Thomas Ramge,"A penetrating guide to artificial intelligence: what it is, what it does, and how it will change our lives At a breathtaking pace, artificial intelligence is getting better and faster at making complex decisions. AI can already identify malignant tumors on CT scans, give legal advice, out-bluff the .",9781615195510,http://books.google.com/books/content?id=Y2t4EAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Good reading about many books mostly by their authors,Unknown Author,No description available.,ISBN-1121095692,http://books.google.com/books/content?id=47tLnCbKlaIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
"A sequel to The first six books of the Elements of Euclid, an easy introduction to modern geometry",John Casey,No description available.,ISBN-5382682707,http://books.google.com/books/content?id=rlf1RjpBDUgC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Artificial Intelligence Basics,Tom Taulli,"Artificial intelligence touches nearly every part of your day. While you may initially assume that technology such as smart speakers and digital assistants are the extent of it, AI has in fact rapidly become a general-purpose technology, reverberating across industries including transportation, heal.",9781484250280,http://books.google.com/books/content?id=zOOmDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Digital Governance,"Kostina Prifti, Esra Demir, Julia Krämer, Klaus Heine, Evert Stamhuis","This book explores the structure and frameworks of digital governance, focusing on various regulatory patterns, with the aim of tackling the disruptive impact of artificial intelligence (AI) technologies. Addressing the various challenges posed by AI technologies, this book explores potential avenue.",9789462656390,http://books.google.com/books/content?id=B6Q4EQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
"Readings from the Old Testament, and Phrase Book",Louise Emery Tucker,No description available.,ISBN-7134297685,http://books.google.com/books/content?id=kA2s43bdAAQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Algebra; an Elementary Text Book for the Higher Classes of Secondary Schools and for Colleges,George Chrystal,No description available.,ISBN-2641066904,http://books.google.com/books/content?id=8R0qAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
The Age of AI,Marc Stanford,"Artificial Intelligence is the simulation of the highly complex human intelligence processes by machines, especially computer systems. These processes include learning, reasoning, and self-correction. When presented with an unfamiliar task, a strong AI system is able to find a solution without human.",1705603297,http://books.google.com/books/content?id=KgxfzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
"List of Documents in Spanish Archives Relating to the History of the United States, which Have Been Printed Or of which Transcripts are Preserved in American Libraries",James Alexander Robertson,"""The two lists contained in this volume concern the history of the territory included within the boundaries of the present continental United States.""--page v.",ISBN-4178867080,http://books.google.com/books/content?id=9yTh4dIFlgAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Essentials of Artificial Intelligence,Matt Ginsberg,"Since its publication, Essentials of Artificial Intelligence has beenadopted at numerous universities and colleges offering introductory AIcourses at the graduate and undergraduate levels. Based on the author'scourse at Stanford University, the book is an integrated, cohesiveintroduction to the fiel.",9780323139687,http://books.google.com/books/content?id=VHVQtGIECgwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Artificial Intelligence Unleashed,Ryan Baumgartner,Do you want to understand the benefits AI has in various industries across the globe? Would you like to discover how AI is applied nowadays to improve our lives? Have you ever wondered if AI will replace the human workforce and if it could replace you? If your answer is yes to any of these questions.,1646962850,http://books.google.com/books/content?id=7FtqzAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Public Documents,West Virginia,No description available.,ISBN-4135246871,http://books.google.com/books/content?id=9ryRo69yZKcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
The Transhumanism Handbook,Newton Lee,"Modern humanity with some 5,000 years of recorded history has been experiencing growing pains, with no end in sight. It is high time for humanity to grow up and to transcend itself by embracing transhumanism. Transhumanism offers the most inclusive ideology for all ethnicities and races, the religio.",9783030169206,http://books.google.com/books/content?id=3ZqgDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Air Corps News Letter,Unknown Author,No description available.,ISBN-1512943048,http://books.google.com/books/content?id=d0EPAAAAIAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Artificial Intelligence,"Zixing Cai, Lijue Liu, Baifan Chen, Yong Wang","This English edition monograph is developed and updated from China's best-selling, and award-winning, book on Artificial Intelligence (AI). It covers the foundations as well as the latest developments of AI in a comprehensive and systematic manner. It is a valuable guide for students and researchers.",9811223718,http://books.google.com/books/content?id=ITenzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,False
Adobe Illustrator CS4 Classroom in a Book,Adobe Creative Team,"The fastest, easiest, most comprehensive way to learn Adobe Illustrator CS4 Adobe Illustrator CS4 Classroom in a Book contains 15 lessons. The book covers the basics of learning Illustrator and provides countless tips and techniques to help you become more productive with the program. You can follow.",9780132089111,http://books.google.com/books/content?id=ze3kdD_YRLEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Artificial Intelligence (AI) Unleashed,Michael McNaught,"Step into a world where machines think, learn, and reshape our very existence. ""Artificial Intelligence (AI) Unleashed: Exploring The Boundless Potential Of AI"" is a captivating exploration of the transformative power of AI. From healthcare to finance, transportation to education, this book unravels.",ISBN-9783933995,http://books.google.com/books/content?id=uW3EEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Artificial Intelligence,Melanie Mitchell,"“After reading Mitchell’s guide, you’ll know what you don’t know and what other people don’t know, even though they claim to know it. And that’s invaluable.” —The New York Times A leading computer scientist brings human sense to the AI bubble. No recent scientific enterprise has proved as alluring, .",9780374715236,http://books.google.com/books/content?id=65iEDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
Artificial Intelligence in Education,"Vania Dimitrova, Benedict du Boulay, Art Graesser","This publication covers papers presented at AIED2009, part of an ongoing series of biennial international conferences for top quality research in intelligent systems and cognitive science for educational computing applications. The conference provides opportunities for the cross-fertilization of tec.",9781607504467,http://books.google.com/books/content?id=LRfvAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Catalogue of Books in the Lending Department of the Plumstead Library,"Woolwich Public Libraries, Woolwich, Eng",No description available.,ISBN-9409276991,http://books.google.com/books/content?id=LmhWAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Artificial Intelligence,Smart Reads,"Elon Musk, Stephen Hawking and Bill Gates, have proclaimed Artificial Intelligence as a possible threat in the future unless humans learn to use it wisely. Could this be true? Is it possible for us to create artificial intelligence programming that we'll soon have thinking and feeling AI? Is it even.",1540472809,http://books.google.com/books/content?id=UTErMQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,True
Artificial Intelligence For Dummies,"John Paul Mueller, Luca Massaron","Forget far-away dreams of the future. Artificial intelligence is here now! Every time you use a smart device or some sort of slick technology—be it a smartwatch, smart speaker, security alarm, or even customer service chat box—you’re engaging with artificial intelligence (AI). If you’re curious abou.",9781119796787,http://books.google.com/books/content?id=s9RKEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Goodwin's Improved Book-keeping and Business Manual,Joseph Henry Goodwin,No description available.,ISBN-5939954740,http://books.google.com/books/content?id=TeUNAQAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,False
"First Proofs of the Universal Catalogue of Books on Art,.",National Art Library (Great Britain),No description available.,ISBN-8479987080,http://books.google.com/books/content?id=FdQZAAAAMAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
Introduction to Artificial Intelligence,Wolfgang Ertel,"This accessible and engaging textbook presents a concise introduction to the exciting field of artificial intelligence (AI). The broad-ranging discussion covers the key subdisciplines within the field, describing practical algorithms and concrete applications in the areas of agents, logic, search, r.",9783319584874,http://books.google.com/books/content?id=geFHDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,True
